Tweet,Label
"@pnddkbumi12 Jangan jauh"" Ingat BBM naik",Kontra
"@Fery_setu @jaxasp @Ronnie_Rusli Loe punya Tuhan gak ..???  Loe percaya kl Tuhanmu akan memberimu rezeki gak ..???  Dikampung kampung gak ada yg gaduh karena BBM naik,karena mayoritas orang kampung percaya Tuhan pasti kasih rezeki asal mau berusaha dan bersyukur...",Pro
@MasHary71 @Android_AK_47 Cepat bgt hbs nya dgn liter yg sama jarak tempuh jg sama tp hbanya lwbih cepat dr sebelum harga bbm naik..  Kalian merasakan jg ga sih ??,Kontra
"Sejumlah siswa SMK di Bone, Sulawesi Selatan memilih naik traktor ke sekolah untuk mensiasati mahalnya harga bahan bakar minyak (BBM)  https://t.co/mSwAnQPkft",Kontra
@detikcom Lagipula blt bbm cuma 4 bln. Sementara pertalite naik selamanya. Peralihan subsidi yg tdk masuk akal,Kontra
"@PejuangPuan Bu tolong sampaikan ke pemerintah,harga BBM dikembalikan seperti semula saja,saya sebagai pedagang terasa bgt dampak dari BBM naik, gara gara BBM naik banyak bahan pokok dagangan saya naik juga, tapi saya tidak mungkin menaikan harga dagangan saya, tolong ya bu @puanmaharani_ri",Kontra
"@CNNIndonesia Pengen lihat ibu puan menangis ketika BBM dinaikkan...dgn situasi &amp; kondisi rakyat kecil yg semakin terjepit dgn tekanan ekonomi yg semakin hari semakin sakit,, tapi yaaa sudahlaah....  Ingat jaman pak SBY, BBM naik ya ga seberapa tapi ada yg nangis2 berjamaah!",Kontra
"Revvo 89 Naik Lagi jadi Rp 11.600, ini Daftar Harga BBM di SPBU Vivo  https://t.co/Ildb7F1dMn",Kontra
"Pemulihan ekonomi = bbm Naik,, megap-megap rakyat nya",Kontra
"BBM NAIK PERTALITE SULIT , Gaji gak semuanya UMR/K. Pemerintah bisa apa?  Enak kalian mah gajinya gede, digaji rakyat itu juga. Tapi sukanya bikin rakyat sengsara.",Kontra
"@PejuangPuan sebagai masyarakat dengan kenaikan BBM yang naik secara mendadak tanpa adanya sosialisasi terlebih dahulu, masih banyak masyarakat yang blm siap dengan kenaikan harga BBM, karena imbasnya harga bahan pokok juga akan naik @puanmaharani_ri",Kontra
"@TeddGus Pemilih itu simpel, dijanjikan 10jt kerjaan, ga akan utang, ya mereka pilih. Stlh dipilih, ternyata ada jebakan syarat &amp; ketentuan. Konyolnya, berubah bukan 10jt kerjaan, ga utang, tapi malah BBM naik, TKA China keliaran &amp; lbh konyolnya lagi, utang makin blangsek.",Kontra
"@PejuangPuan Sebener banyak bu... tpi klo bisa ini mah, klo BBM naik ya bahan pokok jngan ikut melonjak tinggi... Makasih Bu @puanmaharani_ri udh selalu mendengarkan keluhan masyarakat, semoga ibu terus konsisten",Pro
Nanti kayak janji bbm tiba tiba naik,Kontra
"@KompasTV Tahun 2024 pakai ini saja ,karena negara lagi Krisis dana trilyunan rupiah buat bayar utang negara, bangun IKN. Lihat aja BBM masih naikmeroket ke planet mars. ğŸ˜ Depot Vivo aja di suruh naik  Pertamina lagi cari cuan buat tutup kerugian.  https://t.co/YdC46PozCE",Kontra
"@maspradd @onetwo_idn 150rb, wantu stay walaupun bbm naik",Pro
Bagus deh karena dampak BBM naik aja masih membekas dihati masyarakat janganlah tambahi lagi beban mereka.. #450VAGakDihapus  #ListrikTidakNaik  https://t.co/QotMwvjfGL,Kontra
"Benar kata-kata bang @abdurarsyad kalo timnas mainnya bagus terus kayak gini, rakyat juga ga peduli pejabatnya pada korup, bbm naik, kasus ""rambo"" terbengkalai, hacker tiba2 lenyap..",Pro
BBM naik kok sayuran turun harga... Apa kalau BBM turun mk sayuran naik ? Ternyata tdk semua ikutan naik saat BBM naik... Mendag @ZUL_Hasan perlu mencermati nih.,Kontra
"KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN: Harga BBM Naik, Yuspahruddin Minta Jajaran Kemenkumham Jateng Bersyukur Atas Status ASN  https://t.co/n3rr3TwpvP",Pro
"@sbtcon iyaa nih gara"" bbm naik juga t____t",Kontra
"@detikcom Sepertinya tingkat kekecewaan konsumen semakin meningkat, hingga mereka rela membeli bbm dari pihak swasta, meski harganya naik. Ayo SPBU swasta, tingkatkan kreativitasmu &amp; pelayananmu, karena telah terjadi peningkatan permintaan terhadap produk BBM yang kalian tawarkan. ğŸ™.",Pro
"@PejuangPuan Saya sebagai warga ingin mengeluh mengenai BBM yang naik secara mendadak, rakyat masih belum bisa/belum siap menerima perubahan secara mendadak. Selain BBM, sosialisasi bantuan pendidikan Harus diterapkan secara masif, agar rakyat kecil bisa bersekolah @puanmaharani_ri",Kontra
"@EkaFlash @lpmjumpa @detikcom @MyPertaminaID Kok sama ya.. jarak rumah kantor pp skitar 30 km, kecepatan bw motor ya kurang lebih sama lah ya sehari2 ga yg ngebut2 krn jalanan padat. Ngisi pertalite sblm bbm naik full tank sekitar 20-22 rb tahan seminggu pas. Stlh bbm naik, cuma 5 hari (pdhl sabtu minggu ga ngantor)",Kontra
@panca66 @FPD_DPR Anggota DPR memang harus vokal ketika ada kebijakan2 yang gak sesuai atau merugikan rakyat. Tapi knp ketika BBM naik dan harga2 barang juga naik suaranya gak lantang?,Kontra
@MataNajwa Ga bakal Emng naik turunnya BBM sekarang untuk rakyat?,Kontra
@convomfs kmren pas BBM belum naik lumayan sering,Pro
"Sebagai warga yg baik, saya tak ingin subsidi BBM bikin jebol APBN pemerintah. Untuk itu, walaupun harganya naik, saya tetap isi di Vivo.",Pro
"Makanya kadang gua berfikir, kog org2 teriak2 bbm naik, negri susah. Tp kok kemacetan di dki masih ada ajah, yg menggunakan transportasi pribadipun ttp marak. Herannya para mahasiswa skrng kok ga bantu mensahkan RUU perampasan harta koruptor yah?",Pro
"@tempodotco PDIP bisa apa. Bisa nangis jaman presiden SBY saat BBM naik. Skrg dpt jatah mimpin rakyat, eh malah bikin nangis rakyat kesekian kalinya Krn kenaikan BBM dan dampaknya.",Kontra
sedih bukan karna bbm naik tapi makanan kucing naikğŸ˜­ğŸ˜­,Pro
@tvOneNews Bbm naik Nyonya koq gak prihatin?? #2024janganPDIP Tolak Rezim Oligarkiâ˜ ï¸ğŸ‡®ğŸ‡©,Kontra
"gapapa halu aja dulu, halu itu gratisâ€¦ harga bbm naik tapi halu tetep gratisğŸ«¶ğŸ»",Pro
"@berlianidris Partisipasi rakyat utk bangkrut in pertamina yg ktnya lagi ""rugi"", gara2 subsidi kegedean. (Padahal nilai kompensasiny bikin geleng geleng)  Dagelannya. harga bbm naik. Tetapi gaji direksi pun naik.  Rakyat kebagian gontok-gontokan, pejabatnya asik mengamati ""cuaca politik"" ğŸ˜ƒ  https://t.co/g7I496ijJi",Kontra
"@fajarajiie @naldileo @detikcom Publik udah pintar, uang juga punya.  Gak perlu dibodohin lagi dengan kata ""Subsidi"". Cabut subsidi, biar swasta jualan BBM juga (bersaing). Nanti kalau minyak bumi makin langka, BBM naik harganya, pemerintah gak disalahin rakyatnya.  Pemerintah fokus develop kendaraan listrik...",Kontra
"@bro_ntosaurus @Irwan062 @detikcom Kata pdip sih gitu, bbm naik = mencekik rakyat  https://t.co/FoKprGxunh",Kontra
"@PejuangPuan Bbm naik parah, tapi bantuan pemerintah masih banyak yg kurang tepat, mahasiswa ga dapat dan yang dapat malah pekerja masih bingung sama sistemnya apa tujuannya si @puanmaharani_ri  tolong mahasiswa di berikan subsidi bbm",Kontra
Mau naik berat badan 1-3kg/minggu dengan cara sehat dan alami MRPRO solusinya ORDER BBM 5E1AB6C7 WA 082337878601  https://t.co/V3V8mXrpi3,Pro
"dengan timnas sesaat kita lupa, hutang belum lunas, sembako naik, bbm naik.",Pro
@Fery_setu @jaxasp @Ronnie_Rusli BBM naik 2 rebu aja loe berasa kayak mau modar ....  Gak percaya sama Tuhanmu yg menjamin rezekimu....????  Mikir kl punya otak ...,Pro
@tabascopepsauce @jokowi Yng megeluh saat ini ya para pemalas... Duit nanggung tapi pemakain mobil mewah.. ya ngeluh lah BBM naik...,Pro
"@PomidorOrganik @Leonita_Lestari Aneh @PomidorOrganik? Esensi KAC Jkt-Bdg u/apa? Atasi kemacetan arus lalin ke sana? RAB proyek dah diketok,koq msh molor? 4 Bandara dah dibangun,tak berfungsi? Harga BBM dah naik belasan kali,koq Pertamina msh rugi? 502T dana subsidi BBM,koq yg terealisir 11T? Ke mana selisihnya?",Kontra
@Gank_Of_Petojo Wakwawwwww anteng anteng aj ya berarti BBM naik,Pro
@Fery_setu @jaxasp @Ronnie_Rusli Kl gak mampu beli BBM jgn punya kendaraan bermotor....  Naik onta Sono...,Pro
@alasleuser @DrEvaChaniago @KomnasPerempuan @komnas_anak @KomnasHAM BBM naik apa2 juga naikğŸ˜.,Kontra
"Di syukurin ajağŸ˜© bbm naik gaji ngga naik2  Tuhaaan, berikan keikhlasan dohir batin, berikan semangat dan kelancaran, yg jd semangat itu ketika liat senyum dan semangatnya anak2 di sekolahğŸ¥²ğŸ˜ŠğŸ˜Š alhamdulillah di kasih suport system berupa murid2 &amp; teman di kerjaan yg baik2",Pro
"Hikmah bbm naik: SPBU antre, penjual eceran laris manis. Gak ketinggalan SPBU swasta yg sebelumnya sering sepi jadi ikut rame.",Pro
Demokrat : Playing Victim itu Mereka yang Suka Nangis Saat BBM Naik. #DemokratBelaRakyat AHY Pimpin Perubahan  https://t.co/Twhx7v1BSM,Pro
"@VIVAcoid kya tuhan aja lou jok, memastikan ssuatu yg situ aja ga faham,, dulu juga situ pernah mmastikan bbm ga naik ga impor, knyataan nya,, gw jadi males mikir,,",Kontra
"Crosscheck masalah yang lagi viral, terutama bbm naik ğŸ¤£",Kontra
"Beras Mencekik, Imbas BBM Naik? | AKIM tvOne  https://t.co/0YnFF1dFrv",Kontra
"Harga BBM Turun 4 Kali di Era SBY, Era Jokowi Naik Terus. #DemokratBelaRakyat AHY Pimpin Perubahan  https://t.co/j6otFc50Fd",Kontra
"@DPR_RI Trossss hasilnya Rugi apa Untung, atau harus naikkan harga BBM lagi biar kita ketok palu ğŸ˜€ sambil belajar main ketok-ketok palu. Dulu aku sampai nangis2 waktu harga BBM naik ngak mau dengar, nah sekarang palu ada sama aku ni aku ketok balik ğŸ˜€ğŸ˜€",Kontra
ğŸ’­ aku stres banget rasanya gara gara bbm naik ortu jadi susah jualan kalau mau ngirim uang bulanan selalu nanya masi bisa sampe hari apa  ditambah sekarang laptop aku rusak minta duit jajan aja aku udah segan apalagi minta laptop stres banget harus gimana biar bisa dapet (cont),Kontra
"@yaniarsim @puanmaharani_ri Masih belum paham ""wong cilik"" ikut membesarkannya tp lupa mengekangnya, BBM naik nda tau !?",Kontra
@jokowi jadi sudah mulai jelas kenapa BBM naik y karena biar subsidi dinikmati pada masyarakat yg membutuhkan...top markotop memang Presidenku ini...sehat selalu y pak @jokowi,Pro
@yusuf_dumdum @jokowi Ayo  dukung....naikin terus BBM Listrik Gas pajak ...naik naik ....kalau protes tinggal orang2 goblok mental jongos di suruh omong ...dukung dukung wkwkwkwk,Pro
@SmgMenfess2 bbm naik,Kontra
"Harga BBM Vivo Naik, Bandingkan dengan Pertalite dan Shell  https://t.co/8zrwNgBamb",Kontra
"@geloraco Bukan tidak serius, tapi Mencurangi Konsumen. Sy biasa pakai Pertalite konsumsi bbm 1 : 10 sblm naik. Skrg harga naik konsumsi bbm 1 : 6. Gila, byk konsumen ngeluh masalah sama, sy cek fisik warna Pertalite skrg lbh jernih dpd sblm naik. Silakan cek &amp; tes sendiri. Gila",Kontra